Brescia University,32800.0
Campbellsville University,28300.0
University of the Cumberlands,30800.0
Eastern Kentucky University,31000.0
Georgetown College,37500.0
Kentucky State University,27900.0
University of Kentucky,39800.0
Kentucky Christian University,27900.0
Lindsey Wilson College,25200.0
University of Louisville,36300.0
Midway College,37100.0
Morehead State University,29500.0
Murray State University,32000.0
Northern Kentucky University,33800.0
University of Pikeville,30400.0
Saint Catharine College,31900.0
Spalding University,39900.0
Sullivan University,31700.0
Thomas More College,46800.0
Union College,32100.0
Western Kentucky University,31600.0
Centenary College of Louisiana,33900.0
Grambling State University,25100.0
Louisiana State University Health Sciences Center-New Orleans,63000.0
Louisiana State University and Agricultural & Mechanical College,40600.0
Louisiana State University-Shreveport,33800.0
Louisiana College,34100.0
Louisiana Tech University,36200.0
Loyola University New Orleans,35400.0
McNeese State University,32900.0
University of New Orleans,32300.0
Nicholls State University,30900.0
University of Louisiana at Monroe,33000.0
Northwestern State University of Louisiana,31700.0
Our Lady of Holy Cross College,37300.0
Our Lady of the Lake College,43900.0
Southeastern Louisiana University,30100.0
Southern University and A & M College,26300.0
Southern University at New Orleans,22200.0
University of Louisiana at Lafayette,31900.0
Tulane University of Louisiana,46100.0
Xavier University of Louisiana,45400.0
College of the Atlantic,21500.0
Husson University,35900.0
University of Maine at Farmington,29400.0
University of Maine,36500.0
Maine Maritime Academy,63700.0
University of New England,42400.0
Maine College of Art,21700.0
Saint Joseph's College of Maine,36600.0
University of Southern Maine,34000.0
Thomas College,32600.0
University of Baltimore,54000.0
Bowie State University,42000.0
Capitol College,49500.0
Washington Adventist University,49000.0
Coppin State University,34200.0
Frostburg State University,37200.0
Goucher College,35400.0
Kaplan University-Hagerstown Campus,28400.0
Hood College,38800.0
Johns Hopkins University,62700.0
Loyola University Maryland,51800.0
University of Maryland-University College,46100.0
University of Maryland-Baltimore,78100.0
University of Maryland-Baltimore County,45200.0
University of Maryland-College Park,49600.0
Maryland Institute College of Art,31500.0
University of Maryland Eastern Shore,35700.0
Morgan State University,35800.0
Mount St Mary's University,46500.0
Notre Dame of Maryland University,42500.0
Salisbury University,43100.0
St Mary's College of Maryland,39100.0
Sojourner-Douglass College,33700.0
St John's College,30200.0
Towson University,43500.0
Stevenson University,46500.0
Washington College,41700.0
McDaniel College,39800.0
American International College,38700.0
Anna Maria College,40300.0
Assumption College,44600.0
Babson College,71700.0
Bay Path College,41400.0
Bentley University,56200.0
Boston Architectural College,42300.0
Boston College,55200.0
The Boston Conservatory,31600.0
Boston University,47500.0
Brandeis University,48500.0
Bridgewater State University,37000.0
Cambridge College,39700.0
Clark University,37300.0
Curry College,42400.0
Eastern Nazarene College,45500.0
Emerson College,36400.0
Emmanuel College,47100.0
Endicott College,38500.0
Fitchburg State University,38400.0
Framingham State University,37200.0
Gordon College,32300.0
Harvard University,87400.0
Lasell College,34300.0
Lesley University,36500.0
University of Massachusetts-Lowell,44200.0
University of Massachusetts-Amherst,41400.0
University of Massachusetts-Boston,42400.0
MCPHS University,105100.0
Massachusetts College of Art and Design,29200.0
Massachusetts Institute of Technology,79900.0
Massachusetts Maritime Academy,60500.0
Merrimack College,44500.0
Mount Holyoke College,36900.0
Mount Ida College,32600.0
School of the Museum of Fine Arts-Boston,28300.0
The New England Conservatory of Music,30800.0
New England College of Optometry,92200.0
Nichols College,42300.0
Massachusetts College of Liberal Arts,34200.0
Northeastern University,51900.0
College of Our Lady of the Elms,36000.0
Pine Manor College,31600.0
Regis College,38400.0
Salem State University,37500.0
Simmons College,45300.0
Smith College,36900.0
Springfield College,42500.0
University of Massachusetts-Dartmouth,40000.0
Suffolk University,41900.0
Tufts University,53400.0
Wentworth Institute of Technology,47500.0
Western New England University,48800.0
Westfield State University,37600.0
Wheelock College,32800.0
Williams College,49500.0
Worcester Polytechnic Institute,58800.0
Worcester State University,39100.0
Andrews University,35900.0
Aquinas College,33800.0
Baker College of Owosso,29600.0
Baker College of Flint,29600.0
Calvin College,38200.0
Central Michigan University,36300.0
Cleary University,54100.0
College for Creative Studies,38400.0
Davenport University,30600.0
University of Detroit Mercy,40800.0
Eastern Michigan University,34500.0
Ferris State University,37900.0
Kettering University,63200.0
Cornerstone University,34400.0
Grand Valley State University,36000.0
