,Unnamed: 0,0
76,FEMALE_ENRL_ORIG_YR4_RT,0.0
75,CDR2,0.0
74,PCIP48,0.0
73,HI_INC_ENRL_ORIG_YR6_RT,0.0
72,DEP_ENRL_ORIG_YR6_RT,0.0
71,FEMALE_ENRL_ORIG_YR6_RT,0.0
70,IND_ENRL_ORIG_YR6_RT,0.0
97,PCIP12,0.0
99,PCIP10,0.0
130,LOAN_ENRL_ORIG_YR8_RT,0.0
100,PCIP09,0.0
129,NOLOAN_ENRL_ORIG_YR8_RT,0.0
128,PCIP43,0.0
127,PCIP26,0.0
126,PCIP27,0.0
125,PCIP29,0.0
124,PCIP30,0.0
123,NOT1STGEN_ENRL_ORIG_YR8_RT,0.0
122,loan_ever,0.0
121,PCIP22,0.0
120,DEP_INC_PCT_H1,0.0
119,PCIP31,0.0
118,PCIP38,0.0
116,LO_INC_ENRL_ORIG_YR8_RT,0.0
114,PELL_ENRL_ORIG_YR8_RT,0.0
113,PCIP44,0.0
112,HI_INC_ENRL_ORIG_YR8_RT,0.0
111,ENRL_ORIG_YR8_RT,0.0
110,NOT1STGEN_ENRL_ORIG_YR6_RT,0.0
109,FIRSTGEN_ENRL_ORIG_YR6_RT,0.0
108,NOLOAN_ENRL_ORIG_YR6_RT,0.0
107,LOAN_ENRL_ORIG_YR6_RT,0.0
106,NOPELL_ENRL_ORIG_YR6_RT,0.0
105,DEP_ENRL_ORIG_YR8_RT,0.0
104,PELL_ENRL_ORIG_YR6_RT,0.0
103,MALE_ENRL_ORIG_YR6_RT,0.0
102,PCIP03,0.0
101,PCIP05,0.0
115,NOPELL_ENRL_ORIG_YR8_RT,0.0
